Han,Lang,Had_URL,Built_From_Title,Final_URL,OK
Tanabe Domain,en,False,True,https://en.wikipedia.org/wiki/Tanabe_Domain,True
Mineyama Domain,en,False,True,https://en.wikipedia.org/wiki/Mineyama_Domain,True
Miyazu Domain,en,False,True,https://en.wikipedia.org/wiki/Miyazu_Domain,True
Ayabe Domain,en,False,True,https://en.wikipedia.org/wiki/Ayabe_Domain,True
Kashiwabara Domain,en,False,True,https://en.wikipedia.org/wiki/Kashiwabara_Domain,True
Kameyama Domain,en,False,True,https://en.wikipedia.org/wiki/Kameyama_Domain,True
Sasayama Domain,en,False,True,https://en.wikipedia.org/wiki/Sasayama_Domain,True
Sonobe Domain,en,False,True,https://en.wikipedia.org/wiki/Sonobe_Domain,True
Fukuchiyama Domain,en,False,True,https://en.wikipedia.org/wiki/Fukuchiyama_Domain,True
Yamaga Domain,en,False,True,https://en.wikipedia.org/wiki/Yamaga_Domain,True
Akashi Domain,en,False,True,https://en.wikipedia.org/wiki/Akashi_Domain,True
Akō Domain,en,False,True,https://en.wikipedia.org/wiki/Ak%C5%8D_Domain,True
Anji Domain,en,False,True,https://en.wikipedia.org/wiki/Anji_Domain,True
Ono Domain,en,False,True,https://en.wikipedia.org/wiki/Ono_Domain,True
Tatsuno Domain,en,False,True,https://en.wikipedia.org/wiki/Tatsuno_Domain,True
Hayashida Domain,en,False,True,https://en.wikipedia.org/wiki/Hayashida_Domain,True
Himeji Domain,en,False,True,https://en.wikipedia.org/wiki/Himeji_Domain,True
Mikazuki Domain,en,False,True,https://en.wikipedia.org/wiki/Mikazuki_Domain,True
Mikusa Domain,en,False,True,https://en.wikipedia.org/wiki/Mikusa_Domain,True
Yamazaki Domain,en,False,True,https://en.wikipedia.org/wiki/Yamazaki_Domain,True
Yodo Domain,en,False,True,https://en.wikipedia.org/wiki/Yodo_Domain,True
Koizumi Domain,en,False,True,https://en.wikipedia.org/wiki/Koizumi_Domain,True
Kōriyama Domain,en,False,True,https://en.wikipedia.org/wiki/K%C5%8Driyama_Domain,True
Shibamura Domain,en,False,True,https://en.wikipedia.org/wiki/Shibamura_Domain,True
Shinjō Domain,en,False,True,https://en.wikipedia.org/wiki/Shinj%C5%8D_Domain,True
Takatori Domain,en,False,True,https://en.wikipedia.org/wiki/Takatori_Domain,True
Yagyū Domain,en,False,True,https://en.wikipedia.org/wiki/Yagy%C5%AB_Domain,True
Yanagimoto Domain,en,False,True,https://en.wikipedia.org/wiki/Yanagimoto_Domain,True
Hiroshima Domain,en,False,True,https://en.wikipedia.org/wiki/Hiroshima_Domain,True
Hiroshima Shinden Domain,en,False,True,https://en.wikipedia.org/wiki/Hiroshima_Shinden_Domain,True
Hirose Domain,en,False,True,https://en.wikipedia.org/wiki/Hirose_Domain,True
Matsue Domain,en,False,True,https://en.wikipedia.org/wiki/Matsue_Domain,True
Bori Domain,en,False,True,https://en.wikipedia.org/wiki/Bori_Domain,True
Shikano Domain,en,False,True,https://en.wikipedia.org/wiki/Shikano_Domain,True
Tottori Domain,en,False,True,https://en.wikipedia.org/wiki/Tottori_Domain,True
Tottori Nishitate Shinden Domain,en,False,True,https://en.wikipedia.org/wiki/Tottori_Nishitate_Shinden_Domain,True
